Duracion_min;Tr_2.0;Tr_5.0;Tr_10.0;Tr_20.0;Tr_50.0;Tr_100.0;Tr_200.0;Tr_500.0
490;5,8679110749880525;7,533945687083756;8,99148386341479;10,178942731236427;11,575802690736124;12,899001986483228;13,80430731165309;15,676937438069583
495;5,8154693597336955;7,465640266525454;8,911137426679247;10,087987579839952;11,473304061123942;12,785791971304016;13,682075113261455;15,538084553113586
500;5,764016351131152;7,398631339154341;8,832305701906652;9,998747119079407;11,372729556172128;12,674698468866012;13,56213749197565;15,401838595607325
505;5,71352379848482;7,332881697062678;8,754945410406972;9,911172356792912;11,274024351126435;12,565661332658143;13,4444290674265;15,268125278920643
510;5,663964527525537;7,268355554663834;8,679014922473577;9,82521616748365;11,177135705877518;12,45862269868674;13,32888694525939;15,136873141266134
515;5,615312389337596;7,205018481034379;8,604474179146129;9,740833203755095;11,082012866213239;12,353526877522386;13,21545059937386;15,008013411882077
520;5,567542212177062;7,142837336094495;8,531284618402454;9,657979812759837;10,988606970653604;12,250320252442005;13,104061760820722;14,881479884780969
525;5,520629755991704;7,081780210374425;8,459409105488891;9,576613957333189;10,89687096250257;12,148951183267277;12,994664312920497;14,757208799567888
530;5,474551669467022;7,021816368133594;8,388811867120198;9,496695141507102;10,806759506778084;12,049369915530058;12,887204192199343;14,635138728869862
535;5,429285449435713;6,962916193616089;8,319458429299882;9,41818434012246;10,718228911706712;11,951528494622595;12,781629294768429;14,515210471951045
540;5,384809402499873;6,905051140242177;8,251315558530107;9,341043932278312;10,631237054492031;11,855380684615403;12,67788938779994;14,397366954119699
545;5,341102608726094;6,848193682549964;8,184351206196952;9,265237638375671;10,545743311087081;11,760881891448452;12,575936025778095;14,281553131561354
550;5,298144887283654;6,792317270714685;8,118534455932204;9,19073046053072;10,461708489720404;11,667989090222463;12,475722471226433;14,167715901258779
555;5,2559167639052315;6,737396287485363;8,053835473766984;9,117488626148377;10,379094767943013;11,576660756336425;12,377203619633995;14,055804015683425
560;5,214399440058065;6,683406007389949;7,99022546090551;9,045479534461897;10,297865632980049;11,48685680023538;12,280335928322428;13,945768001965279
565;5,17357476372128;6,630322558070375;7,92767660895931;8,974671705857668;10,217985825185888;11,39853850554886;12,185077349014097;13,837560085268427
570;5,133425201672372;6,578122883618616;7,86616205749319;8,905034733816944;10,139421284415405;11,311668470415587;12,091387263877825;13,731134116118485
575;5,093933813192421;6,526784709793707;7,805655853744559;8,83653923931782;10,062139099136969;11,22621055180405;11,999226424844261;13,626445501445534
580;5,055084225105827;6,476286511007812;7,746132914387005;8,769156827551305;9,986107458124534;11,142129812651453;11,908556895996897;13,52345113912212
585;5,016860608075987;6,426607478977017;7,687568989217814;8,702860046815307;9,91129560457717;11,059392471655482;11,819341998857924;13,422109355790841
590;4,979247654083612;6,3777274929395125;7,629940626657141;8,637622349459415;9,837673792524537;10,977965855564431;11,731546260400156;13,322379847789724
595;4,9422305550192265;6,3296270913502655;7,573225140953945;8,573418054761747;9,765213245386123;10,89781835382136;11,64513536362739;13,22422362499626
600;4,905794982325912;6,282287444967284;7,517400581000758;8,510222313626993;9,693886116560746;10,818919375427516;11,560076100575959;13,127602957422791
605;4,8699270676325;6,235690331250136;7,462445700665697;8,448011075002;9,623665451930972;10,74123930789896;11,476336327599858;13,032481324406831
610;4,834613384321306;6,189818109996487;7,408339930556064;8,386761053911918;9,55452515417435;10,664749478198482;11,39388492281061;12,938823366249922
615;4,799840929978067;6,144653700147201;7,355063351133371;8,32644970102615;9,486439948780502;10,589422115532463;11,312691745551392;12,846594838168135
620;4,765597109675089;6,100180557694999;7,30259666710474;8,267055173669185;9,419385351679386;10,515230315909324;11,232727597792575;12,755762566425942
625;4,731869720041698;6,056382654635754;7,250921183020335;8,208556308196659;9,353337638392055;10,442148008362722;11,153964187342881;12,666294406533265
630;4,698646934078933;6,01324445890531;7,200018780010904;8,150932593662022;9,288273814620798;10,370149922748658;11,07637409277706;12,57815920339308
635;4,66591728667816;5,970750915248298;7,1498718936036205;8,094164146703848;9,224171588200702;10,29921155903142;10,99993072998712;12,491326753293915
640;4,633669660805694;5,928887426968716;7,100463492558182;8,038231687588084;9,161009342339435;10,229309157978351;10,924608320269808;12,405767767648053
645;4,601893274317891;5,887639838515069;7,051777058668699;7,983116517343588;9,09876611007658;10,160419673188402;10,850381859868433;12,32145383838237
650;4,570577667373303;5,846994418855839;7,003796567480231;7,928800495933027;9,037421549897978;10,092520744384032;10,777227090892113;12,238357404894346
655;4,53971269041051;5,806937845603597;6,95650646987185;7,8752660214047205;8,976955922444402;10,025590671900098;10,705120473540031;12,156451722491033
660;4,5092884926620895;5,767457189848657;6,909891674461025;7,822496009974211;8,91735006825756;9,959608392307478;10,634039159562745;12,07571083223371
665;4,479295511177007;5,728539901665455;6,86393753078684;7,770473876987471;8,85858538650978;9,894553455112776;10,563960966896571;11,996109532115529
670;4,449724460325246;5,690173796257019;6,818629813231946;7,71918351872038;8,80064381466681;9,830406000478945;10,494864355410776;11,917623349503662
675;4,420566321760111;5,652347040704897;6,773954705645621;7,668609294971842;8,743507809036268;9,767146737914814;10,42672840371089;11,84022851478157
680;4,391812334815007;5,61504814129386;6,729898786632394;7,6187360124103485;8,687160326156913;9,70475692588464;10,359532786944762;11,763901936130667
685;4,363453987312862;5,5782659313824;6,686449015472806;7,569548908636102;8,63158480498648;9,64321835229146;10,293257755560916;11,688621175394148
690;4,335483006767597;5,5419895597917535;6,643592718644724;7,521033636922985;8,576765149848308;9,582513315790786;10,227884114971832;11,614364424969043
695;4,307891351958215;5,506208479687708;6,601317576915493;7,473176251606718;8,522685714099246;9,52262460789358;10,163393206077304;11,541110485675627
700;4,280671204857191;5,470912437930906;6,559611612976812;7,42596319408739;8,469331284483285;9,463535495819741;10,099766886605634;11,468838745556148
705;4,253814962895831;5,436091464872706;6,51846317959584;7,379381279416349;8,41668706613758;9,405229706065592;10,036987513232772;11,397529159557493
710;4,227315231550292;5,401735864574987;6,477860948257499;7,333417683439159;8,364738668219179;9,34769140865073;9,97503792444169;11,327162230055054
715;4,20116481723279;5,3678362054334015;6,437793898274302;7,288059930467777;8,313472090122637;9,290905202011684;9,913901424086406;11,257718988177244
720;4,175356720473413;5,334383311184771;6,398251306341365;7,243295881456684;8,262873708260273;9,234856098511441;9,853561765626981;11,189180975892452
725;4,149884129378737;5,301368252280342;6,359222736515442;7,199113722659036;8,212930263378377;9,179529510535701;9,79400313700366;11,121530228822268
